Range,Round,Beat,Place,Ha.,Place Year
Prantij,Salal SF,Salal SF,Salal Tall sedling Nursery 24-25,,2024-25
Himatnagar,Raygadh SF,Raygadh SF,RKVY Nursery Rajgadh 25-26,,2025-26
Himatnagar,Derol SF,Mehtapura SF,Nursery Cul. of Indige.Multi Pur. Tree Dhandha 25-26,,2025-26
Dhansura,Shika SF,Shika SF,VNM Nursery Alampur 25-26,,2025-26
Dhansura,Shika SF,Shika SF,RKVY Nursery Alampur,,2025-26
Dhansura,Shika SF,Shika SF,Tall Sedlling Nursery,,2025-26
Dhansura,Vadagam SF,Vadagam SF,VNM Nursery Navalpur 25-26,,2025-26
Dhansura,Vadagam SF,Vadagam SF,RKVY Nursery Navalpur,,2025-26
Dhansura,Vadagam SF,Vadagam SF,Tall sedlling Nursery Navalpur,,2025-26
Dhansura,Shika SF,Shika SF,VNM Nursery Alampur 26-27,,2026-27
Dhansura,Vadagam SF,Vadagam SF,VNM Nursery Navalpur 26-27,,2026-27
Himatnagar,Derol SF,Mehtapura SF,Dhandha Dept Nursery 26-27,,2026-27
Himatnagar,Raygadh SF,Raygadh SF,Raygadh Dept Nursery 26-27,,2026-27
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Khedbrahma Nursery-VNM-26-27,,2026-27
Modasa,Medhasan SF,Medhasan SF,Methasan Hitech (Clonal) Nursery,,
Malpur,Jitpur SF,Jitpur SF,Lalasipur- Nursery,,
Malpur,Malpur SF,Mevda SF,Meditimba Nursery,,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,khed-tall Seedling Nursery,,
Khedbrahma,Lambadiya SF,Lambadiya SF,Demti Tall Seedling Nursery,,
Himatnagar,Himmatpur SF,Gambhoi SF,Tajhatgadg West Land,10,2024-25
Himatnagar,Himmatpur SF,Gambhoi SF,Van Kavach Takhatgdh 24-25,,2024-25
Talod,Talod SF,Talod SF,Talod GIDC,2,2024-25
Dhansura,Dhansura SF,Dhansura SF,Dhansura G-2-24-25,4,2024-25
Dhansura,Dhansura SF,Dhansura SF,Hirapur Kampa-FF-24-25,4,2024-25
Talod,Talod SF,Talod SF,Mahiyal Vankavach ( (urban),1,2024-25
Bhiloda,Bhiloda SF,Mau SF,,1,2024-25
Bhiloda,Bhiloda SF,Mau SF,Juna bhavnath Mandir Mau-P.U-24-25,1,2024-25
Bhiloda,Dolatpur SF,Dolatpur SF,Devnimori To Meshvo Dam Site-P.G.P-24-25,1,2024-25
Bhiloda,Rintoda SF,Rintoda SF,Rintoda Char Rasta To Vankaner Gam-P.G.P-24-25,1,2024-25
Bhiloda,Shamlaji SF,Bhetali SF,Kheradi Gam To Kheradi Pri.School-P.G.P-24-25,1,2024-25
Bhiloda,Shamlaji SF,Shamlaji SF,Shamlaji Highschool To Venpur Gam-P.G.P-24-25,1,2024-25
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Gota E 24-25/96,1,2024-25
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Vartol Westlend 24-25 10 CFP,20,2024-25
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Taluka Panchayat HG 25-26/96,1,2024-25
Khedbrahma,Kheroj SF,Dan Mahudi SF,kheroj Ashramshala E 24-25/96,1,2024-25
Khedbrahma,Kheroj SF,Dan Mahudi SF,Sebaliya To Kheroj S ROD 24-25/96,3,2024-25
Khedbrahma,Laxmipura SF,Galodiya SF,Galodiya Smashan E 24-25/96,1,2024-25
Khedbrahma,Laxmipura SF,Galodiya SF,Galodiya G-1 24-25/96,11,2024-25
Khedbrahma,Laxmipura SF,Galodiya SF,Galodiya G-2 24-25/96,9,2024-25
Khedbrahma,Matoda SF,Radhivad,Unchidhanal G-2 24-25/96,3,2024-25
Khedbrahma,Matoda SF,Radhivad,Shyamnagar To Matoda S ROD 24-25/96,3,2024-25
Himatnagar,Himmatpur SF,Gambhoi SF,,6,2024-25
Himatnagar,Himmatpur SF,Gambhoi SF,Manorpur-NBM-24-25 II,5,2024-25
Khedbrahma,Laxmipura SF,Galodiya SF,Damavas Vankavach,,2024-25
Dhansura,Dhansura SF,Dhansura SF,Dhansura Gauchar-Block Plan-24-25,5,2024-25
Dhansura,Shika SF,Bheshawada SF,Ramos-HDP-24-25,4,2024-25
Khedbrahma,Khedbrahma SF,Khedbrahma SF,,30,2024-25
Vadali,Vadali SF,Vadali SF,PGV-Dhamdi 2024-25,1,2024-25
Vadali,Vadali SF,Junachamu SF,PGV-Vetla 2024-25,1,2024-25
Vadali,Bhavangadh SF,Bhavangadh SF,PGV-Malpur 2024-25,1,2024-25
Vadali,Bavsar SF,Veda SF,PGV-Jalampura 2024-25,1,2024-25
Vadali,Bavsar SF,Veda SF,PGV-Fudeda 2024-25,1,2024-25
Vadali,Bhavangadh SF,Bhavangadh SF,Bhavangadh-E,1,2023-24
Himatnagar,Derol SF,Derol SF,Derol Vankavach,1,2023-24
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Urban Forest 2023-24,,2023-24
Malpur,Jitpur SF,Jitpur SF,Parsoda To Iploda Raod-S-22-23,1,2022-23
Malpur,Malpur SF,Mevda SF,Nanavada- G1-22-23,4,2022-23
Malpur,Malpur SF,Surana Pahadiya SF,Jeshvadi- G1-22-23,4,2022-23
